Soil Moisture,Temperature,Soil Humidity,Time,Air temperature (C),Air humidity (%),Status
76,29,44,9,25.15,15.54,OFF
53,36,42,108,25.04,16.4,OFF
71,9,55,82,24.94,17.26,OFF
26,9,65,53,24.83,18.12,ON
12,41,36,44,24.82,18.26,ON
67,13,35,93,24.82,18.41,OFF
17,45,53,85,24.84,18.22,ON
26,38,70,75,24.85,18.02,ON
78,39,34,63,24.91,17.3,ON
30,27,57,104,24.97,16.58,OFF
20,5,38,50,24.88,16.43,ON
79,28,61,107,24.79,16.29,OFF
40,17,42,49,24.66,16.19,ON
10,11,53,82,24.52,16.09,ON
84,8,55,93,24.45,15.62,OFF
11,8,32,110,24.38,15.14,OFF
63,28,38,95,24.29,14.94,OFF
40,2,40,101,24.2,14.75,OFF
33,37,34,62,24.11,14.77,ON
75,11,64,107,24.02,14.79,OFF
24,30,57,3,23.82,15.1,ON
65,15,53,94,23.62,15.41,OFF
35,25,46,94,23.51,15.27,OFF
44,15,33,68,23.4,15.13,ON
39,1,45,96,23.33,15.57,OFF
13,35,24,58,23.26,16,ON
20,45,59,95,23.1,18.12,OFF
82,0,65,107,22.94,20.25,OFF
72,5,53,46,22.85,20.45,OFF
56,30,36,35,22.76,20.65,ON
14,44,26,94,22.56,21.04,OFF
25,10,57,24,22.36,21.44,ON
13,6,52,71,22.42,20.72,ON
43,43,37,91,22.47,19.99,OFF
62,1,66,98,22.41,19.48,OFF
56,36,47,60,22.35,18.97,ON
60,10,25,41,22.46,18.12,OFF
89,7,56,35,22.58,17.26,OFF
46,23,23,41,22.69,16.78,ON
8,29,32,7,22.8,16.31,ON
13,10,41,63,22.77,16.06,ON
55,35,35,16,22.74,15.82,ON
65,27,44,62,22.6,16.02,ON
34,33,66,5,22.46,16.22,ON
55,17,35,51,22.24,16.61,ON
32,10,40,79,22.03,17,ON
60,38,47,41,21.86,17.4,ON
80,21,48,9,21.69,17.8,OFF
22,16,39,97,21.44,18.58,OFF
2,21,51,62,21.19,19.35,ON
31,8,26,33,21.12,20.23,OFF
59,11,50,40,21.04,21.1,OFF
27,6,53,75,21.38,20.2,OFF
42,40,54,102,21.71,19.31,OFF
19,31,68,54,21.76,19.27,ON
37,43,41,37,21.81,19.23,ON
17,16,47,55,21.64,19.92,ON
42,22,62,38,21.46,20.61,ON
90,39,46,61,21.37,20.76,ON
27,9,35,26,21.28,20.92,OFF
12,1,40,96,21.33,20.92,OFF
26,13,43,90,21.38,20.92,ON
35,19,52,95,21.28,21.41,OFF
84,45,36,65,21.19,21.9,ON
44,43,66,107,21.16,22.01,OFF
90,28,63,78,21.13,22.12,OFF
6,15,40,47,21.02,22.5,ON
70,23,53,20,20.92,22.88,OFF
76,18,26,34,20.82,23.25,OFF
7,3,61,59,20.71,23.63,ON
87,12,58,5,20.72,23.19,OFF
86,33,61,66,20.72,22.74,ON
64,28,46,49,20.73,22.3,ON
15,38,53,90,20.74,21.86,ON
18,44,32,84,20.6,22.1,ON
50,24,29,53,20.46,22.33,OFF
36,11,50,99,20.38,22.6,OFF
81,32,46,52,20.3,22.88,ON
66,38,22,105,20.22,23.15,OFF
86,4,66,1,20.14,23.42,OFF
5,0,69,104,20.12,23.38,OFF
85,28,61,20,20.09,23.34,OFF
14,12,41,73,20.01,23.66,ON
32,34,45,50,19.93,23.99,ON
3,42,23,21,19.85,24.31,ON
20,19,46,75,19.62,25.28,ON
53,12,68,36,19.4,26.25,ON
9,34,47,58,19.21,26.8,ON
6,32,26,55,19.02,27.36,ON
79,8,47,48,18.74,28.08,OFF
76,39,27,69,18.45,28.79,ON
77,23,27,108,18.28,29.61,OFF
63,45,37,13,18.11,30.43,OFF
3,5,42,7,18.01,30.62,OFF
40,3,20,63,17.91,30.8,OFF
31,20,34,96,18.06,29.96,OFF
90,5,49,2,18.22,29.13,OFF
8,27,37,27,18.24,28.95,ON
37,1,22,96,18.25,28.77,OFF
22,4,65,25,18.24,28.24,ON
70,30,60,99,18.22,27.7,OFF
84,32,29,107,18.26,27.26,OFF
29,39,53,98,18.3,26.83,OFF
18,15,33,103,18.32,26.9,OFF
82,11,25,93,18.33,26.98,OFF
86,29,48,58,18.34,27.06,ON
12,21,32,109,18.36,27.13,OFF
64,11,32,90,18.58,26.56,ON
16,20,32,60,18.8,25.98,ON
47,9,31,57,19.12,25.23,OFF
51,16,70,17,19.44,24.48,ON
5,5,23,49,19.71,23.94,ON
90,19,56,38,19.98,23.4,OFF
32,0,25,90,20.46,22.37,OFF
16,22,70,40,20.94,21.34,ON
42,30,52,91,21.43,20.3,OFF
86,32,50,34,21.91,19.27,OFF
86,9,69,17,22.48,18.02,OFF
80,3,34,30,23.06,16.76,OFF
58,43,58,36,23.64,15.44,ON
90,37,40,60,24.22,14.13,ON
78,44,70,72,24.66,13.18,ON
38,26,24,73,25.1,12.22,ON
39,23,45,60,25.65,11.43,ON
9,8,31,103,26.19,10.64,OFF
73,37,22,35,26.74,9.84,OFF
77,0,50,72,27.3,9.03,OFF
16,17,61,12,27.61,8.72,OFF
56,37,55,68,27.92,8.41,ON
8,4,37,56,28.06,8.38,ON
27,45,20,92,28.2,8.34,OFF
29,8,68,64,28.35,8.3,ON
17,10,64,88,28.49,8.27,ON
60,43,48,64,28.8,7.94,ON
20,15,40,57,29.12,7.6,ON
82,43,39,102,29.65,7.26,OFF
59,25,61,96,30.17,6.91,OFF
46,13,56,54,30.53,6.69,OFF
35,37,30,87,30.9,6.46,ON
67,39,60,0,31.26,6.24,ON
76,37,46,60,31.62,6.02,ON
2,45,59,70,31.62,5.68,ON
20,30,21,104,31.62,5.33,OFF
36,29,39,62,31.92,5.12,ON
86,24,42,93,32.21,4.92,OFF
7,5,44,92,32.44,4.72,OFF
82,34,64,4,32.66,4.53,OFF
20,27,27,67,33.02,4.32,ON
65,27,34,19,33.38,4.11,OFF
32,11,53,54,33.16,4.11,OFF
72,7,32,51,32.94,4.11,ON
73,44,39,79,33.2,4.08,ON
8,32,48,15,33.45,4.05,ON
7,31,39,58,33.65,3.86,ON
58,17,60,94,33.84,3.67,OFF
68,12,25,65,34.03,3.66,OFF
65,37,58,15,34.22,3.66,OFF
31,37,29,11,34.36,3.56,ON
54,42,44,80,34.51,3.45,ON
12,32,56,93,34.57,3.29,OFF
78,37,54,70,34.63,3.13,ON
72,16,30,105,34.75,3.02,OFF
17,33,69,65,34.86,2.91,ON
11,41,23,110,34.76,2.93,OFF
64,9,26,110,34.66,2.95,OFF
72,44,24,93,34.74,2.76,OFF
22,18,57,51,34.81,2.58,OFF
36,38,31,75,34.3,2.76,ON
18,17,40,10,33.8,2.94,OFF
84,42,67,85,33.34,3.16,ON
21,45,55,39,32.89,3.38,ON
56,20,33,36,32.86,3.64,ON
73,4,67,61,32.83,3.91,ON
79,21,63,30,33.33,3.63,OFF
56,27,25,45,33.82,3.35,ON
82,43,59,87,33.83,3.38,ON
77,42,42,15,33.83,3.41,OFF
79,16,58,86,34,3.35,OFF
10,44,38,45,34.18,3.29,ON
57,6,28,48,34.48,3.23,OFF
68,17,62,69,34.77,3.17,OFF
46,1,58,28,34.58,3.02,OFF
83,16,31,82,34.38,2.88,OFF
26,23,60,107,34.13,3.16,OFF
78,24,45,81,33.88,3.43,ON
7,29,48,22,34.12,3.4,ON
48,2,52,97,34.37,3.37,OFF
34,0,33,55,34.07,3.49,OFF
48,3,36,71,33.77,3.6,OFF
5,27,29,47,33.76,3.53,ON
15,36,37,52,33.76,3.46,ON
48,2,59,69,33.76,3.39,OFF
48,41,21,19,33.75,3.32,ON
74,24,25,101,33.55,3.34,OFF
10,42,35,99,33.35,3.36,OFF
23,0,58,43,33.39,3.13,OFF
35,3,53,1,33.42,2.9,OFF
74,3,42,26,33.54,3.06,OFF
17,16,57,21,33.67,3.21,OFF
37,4,31,68,33.72,3.3,OFF
77,6,59,68,33.77,3.39,OFF
44,2,53,0,33.77,3.53,OFF
62,8,55,57,33.77,3.66,OFF
70,24,41,5,33.76,3.35,OFF
19,2,27,70,33.74,3.04,ON
9,44,66,90,33.72,3.22,ON
50,35,37,78,33.7,3.41,ON
65,41,63,62,33.67,3.6,ON
9,24,20,34,33.65,3.78,ON
42,10,35,17,33.45,3.68,ON
22,17,69,43,33.25,3.58,ON
57,17,55,13,33.04,3.49,ON
25,44,25,94,32.84,3.39,OFF
25,34,51,59,32.75,3.4,ON
16,16,52,28,32.66,3.4,OFF
79,45,27,93,32.56,3.4,OFF
84,7,25,61,32.47,3.41,OFF
2,31,29,40,32.38,3.42,ON
33,26,28,99,32.29,3.42,OFF
80,29,31,32,32.19,3.42,OFF
86,34,36,71,32.1,3.43,ON
30,24,60,110,31.95,3.66,OFF
86,27,46,98,31.8,3.89,OFF
1,18,37,59,31.66,4.12,ON
45,7,26,15,31.51,4.34,ON
53,6,20,98,31.36,4.57,OFF
39,34,34,6,31.21,4.8,ON
2,20,24,47,30.98,5.4,ON
50,23,24,47,30.76,6,OFF
41,5,60,10,30.55,5.78,ON
76,7,25,51,30.34,5.56,OFF
11,7,30,65,30.18,5.58,ON
59,5,44,97,30.02,5.61,OFF
80,43,33,98,29.8,5.9,OFF
21,36,35,72,29.58,6.19,ON
37,16,25,57,29.35,6.48,OFF
20,35,59,85,29.13,6.77,ON
74,7,43,101,28.82,7.57,OFF
52,19,34,3,28.52,8.37,ON
17,26,66,70,28.24,8.67,ON
20,37,45,20,27.97,8.97,ON
31,2,22,102,27.86,8.16,OFF
5,43,23,42,27.76,7.35,ON
61,1,32,73,27.68,6.88,ON
70,35,29,78,27.61,6.41,ON
62,28,39,66,27.42,6.67,ON
55,40,33,27,27.23,6.93,ON
65,14,56,3,26.97,7.48,ON
83,33,59,19,26.71,8.02,OFF
52,7,47,14,26.63,8.32,ON
40,44,58,29,26.55,8.63,ON
87,0,69,82,26.44,8.72,OFF
77,17,20,50,26.32,8.81,OFF
74,7,50,23,26.12,9,OFF
36,14,55,96,25.93,9.18,OFF
3,1,32,26,25.96,9.11,OFF
12,42,53,30,26,9.04,ON
54,26,33,8,26.05,8.93,ON
32,45,54,105,26.1,8.81,OFF
28,24,37,66,26.05,8.85,ON
89,41,57,85,26,8.88,ON
60,21,59,101,25.92,9.12,OFF
55,19,29,79,25.85,9.35,OFF
85,35,27,90,25.72,9.66,ON
80,38,64,89,25.6,9.97,ON
74,32,20,108,25.54,10.24,OFF
24,5,66,50,25.49,10.5,ON
29,43,60,62,25.43,10.95,ON
49,41,31,30,25.37,11.4,ON
43,18,39,0,25.14,11.9,ON
5,28,62,9,24.91,12.4,ON
71,14,67,76,24.66,12.8,ON
49,24,45,48,24.4,13.2,ON
40,10,32,106,24.4,13.39,OFF
21,23,28,95,24.4,13.58,OFF
17,11,40,83,24.26,14.26,ON
13,31,35,82,24.13,14.94,ON
59,28,32,33,24.04,15.38,ON
63,38,35,92,23.95,15.81,OFF
82,26,58,67,23.87,16.02,OFF
75,12,25,16,23.79,16.23,OFF
57,31,66,20,23.65,16.53,ON
83,21,62,29,23.51,16.83,OFF
39,45,61,47,23.47,16.6,ON
65,23,23,64,23.43,16.38,ON
54,38,63,46,23.22,16.54,ON
10,28,61,103,23.01,16.69,OFF
8,27,53,41,23.06,16.48,ON
28,29,47,102,23.11,16.28,OFF
19,33,31,22,23,16.45,ON
70,28,24,43,22.89,16.63,ON
31,12,32,60,22.64,16.92,ON
83,22,61,2,22.39,17.22,OFF
6,41,56,103,22.36,17.12,OFF
29,11,29,10,22.33,17.01,ON
72,24,46,19,22.3,16.97,OFF
14,27,60,87,22.27,16.92,ON
31,23,70,34,22.2,17.72,ON
7,17,57,99,22.12,18.52,OFF
34,11,25,103,22.08,19.08,OFF
39,9,57,93,22.03,19.64,OFF
88,15,52,78,21.72,21.18,OFF
12,44,42,88,21.41,22.71,ON
90,29,53,61,21.23,23.61,ON
26,22,35,1,21.05,24.51,ON
11,27,25,5,21.11,24.38,ON
74,17,23,39,21.17,24.25,OFF
71,15,23,104,21.13,23.97,OFF
43,43,32,73,21.1,23.7,ON
84,32,34,20,21.06,23.42,OFF
44,19,31,88,21.02,23.14,OFF
42,24,20,75,20.85,23.42,ON
20,37,57,46,20.67,23.69,ON
36,17,22,98,20.5,23.96,OFF
26,2,32,14,20.33,24.24,ON
20,44,55,97,20.29,24.1,OFF
11,41,21,19,20.25,23.97,ON
49,19,47,104,20.19,23.94,OFF
49,16,25,10,20.13,23.91,ON
39,37,33,21,20.07,23.88,ON
83,32,22,56,19.9,24.06,ON
40,34,55,2,19.74,24.25,ON
2,25,22,13,19.66,24.32,ON
85,24,25,71,19.58,24.4,OFF
35,20,61,1,19.34,25.15,ON
36,32,60,61,19.1,25.9,ON
75,31,44,0,19.09,25.85,OFF
71,12,33,15,19.08,25.81,OFF
81,28,37,48,19.01,25.6,ON
18,36,49,17,18.94,25.39,ON
21,25,46,89,18.96,24.76,ON
46,19,42,108,18.99,24.14,OFF
60,25,40,24,19.02,23.64,OFF
12,28,32,100,19.04,23.13,OFF
13,0,60,72,18.98,22.65,ON
82,11,20,47,18.93,22.17,OFF
27,41,59,50,18.99,21.66,ON
9,2,62,16,19.06,21.14,ON
62,7,68,75,19.07,20.74,ON
82,31,30,2,19.08,20.33,OFF
51,35,52,79,19.02,20.26,ON
61,0,53,79,18.95,20.18,OFF
89,12,34,19,18.78,20.86,OFF
56,5,39,4,18.61,21.54,OFF
13,37,28,1,18.52,21.96,ON
19,38,51,22,18.44,22.38,ON
90,22,27,13,18.35,22.81,OFF
60,41,20,103,18.26,23.23,OFF
39,7,56,78,18.38,22.28,OFF
72,15,43,86,18.49,21.32,ON
90,37,57,105,18.52,20.45,OFF
44,34,36,35,18.55,19.59,ON
73,19,42,21,18.54,19.21,OFF
71,27,69,53,18.52,18.83,ON
55,36,47,110,18.4,19.38,OFF
70,7,39,28,18.28,19.93,OFF
35,25,66,21,18.04,20.98,ON
25,33,45,6,17.8,22.04,ON
26,14,61,10,17.65,22.72,ON
53,36,24,33,17.5,23.41,ON
86,3,51,54,17.38,23.49,OFF
2,5,65,94,17.27,23.57,OFF
28,21,48,57,17.28,22.52,ON
15,37,53,81,17.29,21.48,ON
36,17,62,81,17.37,20.2,OFF
35,34,34,46,17.45,18.92,ON
54,22,59,12,17.56,18.41,ON
72,25,50,98,17.68,17.9,OFF
86,44,48,51,17.7,17.65,ON
34,14,37,40,17.71,17.4,ON
36,29,54,105,17.55,17.57,OFF
55,23,70,28,17.38,17.74,ON
42,7,34,58,17.29,17.83,ON
28,40,44,10,17.21,17.92,ON
44,37,46,65,17.12,18.01,ON
5,28,30,49,16.96,18.41,ON
42,9,56,61,16.81,18.81,OFF
81,15,22,26,16.89,18.82,OFF
4,33,53,97,16.96,18.84,OFF
63,28,21,50,17.04,18.86,ON
3,26,20,35,17.12,18.87,ON
88,41,64,95,17.03,19.08,OFF
10,40,53,72,16.94,19.28,ON
35,24,35,90,16.76,19.88,ON
19,23,36,55,16.59,20.48,ON
70,9,39,54,16.55,20.8,ON
34,37,38,83,16.51,21.12,ON
61,41,64,1,16.33,21.62,ON
40,38,58,37,16.14,22.11,ON
70,32,64,107,16,22.56,OFF
26,37,65,65,15.85,23.01,ON
31,24,48,85,15.77,23.2,ON
74,2,43,22,15.69,23.38,OFF
30,25,53,66,15.89,22.62,ON
47,2,33,64,16.09,21.85,ON
14,8,51,33,16.4,21.06,OFF
88,41,45,37,16.72,20.26,OFF
52,7,66,84,16.99,20.1,ON
66,2,58,76,17.26,19.94,OFF
44,23,60,35,17.7,19.34,ON
74,1,49,10,18.15,18.75,OFF
89,29,40,106,18.73,17.99,OFF
32,29,54,95,19.31,17.24,OFF
33,8,59,80,19.94,16.27,OFF
55,28,44,44,20.57,15.31,ON
5,35,30,8,21.18,14.57,ON
84,5,33,87,21.8,13.83,ON
30,27,34,103,22.41,13.09,OFF
81,12,48,16,23.02,12.35,OFF
66,37,50,9,23.67,11.86,ON
56,40,33,58,24.32,11.37,ON
89,44,68,56,24.96,10.36,ON
43,14,41,54,25.6,9.34,ON
52,45,26,20,26.06,8.85,ON
40,24,32,23,26.52,8.36,OFF
35,43,67,21,27.06,8.13,ON
65,14,28,65,27.59,7.9,OFF
30,37,30,98,28.14,6.9,OFF
63,41,43,0,28.69,5.91,ON
58,25,68,18,29.15,5.4,ON
45,41,49,30,29.61,4.88,ON
19,28,55,30,29.88,4.65,ON
2,13,43,102,30.14,4.42,OFF
37,3,62,89,30.54,4,OFF
71,34,38,86,30.95,3.57,ON
30,19,55,52,31.38,3.64,OFF
55,19,70,110,31.8,3.7,OFF
6,21,49,25,31.78,3.57,ON
74,0,58,48,31.77,3.44,OFF
8,6,57,5,31.76,3.31,OFF
21,36,49,105,31.74,3.18,OFF
66,24,61,31,32.4,2.96,OFF
88,24,42,24,33.06,2.74,OFF
66,36,50,35,32.97,2.66,OFF
61,25,31,97,32.87,2.58,OFF
81,31,43,74,32.99,2.55,ON
53,4,42,3,33.11,2.53,OFF
57,36,27,17,33.34,2.51,ON
12,9,29,41,33.57,2.5,ON
84,38,48,100,34,2.54,OFF
